工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
资深数据分析师,跟谁学,2000人以上,"移动互联网,教育",上市公司,"节日礼物,技能培训,股票期权,精英团队",18k-30k,3-5年,本科,武汉
数据分析师,天眼查,150-500人,数据服务,不需要融资,"专项奖金,股票期权,带薪年假,定期体检",12k-18k,应届毕业生,本科,北京
数据分析师,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",15k-30k,3-5年,本科,深圳
数据分析师,万顺叫车,150-500人,"消费生活,移动互联网",A轮,"团建津贴,氛围好,专项奖金,车贴等",10k-18k,3-5年,本科,深圳
数据分析师,触漫,150-500人,"移动互联网,文娱丨内容",B轮,"股票期权,领导好,五险一金,扁平管理",10k-15k,3-5年,本科,广州
数据分析师,蜻蜓FM,150-500人,移动互联网,D轮及以上,"明星直播,男女1:1,带薪年假,扁平管理",15k-25k,3-5年,本科,上海
数据分析师,拼多多,2000人以上,"电商,移动互联网",上市公司,"股票期权,专项奖金,弹性工作,扁平管理",15k-30k,不限,本科,上海
数据分析师,明源云,2000人以上,电商,上市公司,"高额六险一金,年底双薪,绩效奖金,N项经费",15k-20k,5-10年,本科,深圳
数据分析师,西瓜创客,150-500人,教育,B轮,"牛人多,快速发展",10k-20k,不限,不限,成都
数据分析师,龙玩互娱,50-150人,游戏,天使轮,"年底双薪,带薪年假,股票期权,定期体检",8k-13k,1-3年,本科,广州
数据分析师,深圳市丰巢科技有限公司,500-2000人,消费生活,A轮,"五险一金,通讯津贴,交通补助,带薪年假",15k-30k,1-3年,本科,深圳
数据分析师,爱问医联,150-500人,"医疗丨健康,移动互联网",C轮,"股票期权,带薪年假,午餐补助,五险一金",12k-20k,3-5年,本科,深圳
数据分析师,Fun Plus,500-2000人,游戏,B轮,,30k-40k,3-5年,硕士,北京
数据分析师,莉莉丝游戏,500-2000人,"移动互联网,游戏",不需要融资,"项目奖金,零食无限量,牛逼的同事,境外旅游",12k-20k,3-5年,本科,上海
数据分析师,美篇,50-150人,"移动互联网,社交",B轮,"弹性工作,期权激励,六险一金,租房补贴",15k-25k,3-5年,不限,北京
数据分析师,触漫,150-500人,"移动互联网,文娱丨内容",B轮,"股票期权,领导好,五险一金,扁平管理",10k-15k,3-5年,本科,广州
高级数据分析师,优乐学科技,150-500人,"移动互联网,教育",B轮,"年底双薪,股票期权,带薪年假,弹性工作",18k-36k,5-10年,本科,深圳
数据分析师,蜻蜓FM,150-500人,移动互联网,D轮及以上,"明星直播,男女1:1,带薪年假,扁平管理",15k-25k,3-5年,本科,上海
腾讯云高级数据分析师,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",27k-40k,5-10年,本科,深圳
数据分析师,颐和一品文化,500-2000人,"电商,消费生活",上市公司,,4k-6k,应届毕业生,大专,武汉
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-40k,3-5年,本科,北京
CSIG18-高级数据分析师（深圳）,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",15k-30k,3-5年,本科,深圳
数据分析师,PreTalent璞睿,50-150人,教育,B轮,"绩效奖金,通讯津贴,交通补助,带薪年假",10k-15k,不限,硕士,上海
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-35k,1-3年,本科,北京
数据分析师,罗辑思维,150-500人,"移动互联网,文娱丨内容",D轮及以上,"扁平管理,弹性工作,六险一金,定期体检",20k-35k,3-5年,本科,北京
数据分析师,广州市果肉教育科技有限公司,500-2000人,"移动互联网,教育",不需要融资,"年底双薪,弹性工作,年度旅游,节日礼物",15k-30k,3-5年,本科,广州
数据分析师,深圳市丰巢科技有限公司,500-2000人,消费生活,A轮,"五险一金,通讯津贴,交通补助,带薪年假",15k-30k,1-3年,本科,深圳
大数据分析师,青岛准安互动大数据科技服务有限公司,150-500人,"金融,企业服务",未融资,,6k-12k,不限,大专,青岛
数据分析师,醇馨信息,2000人以上,金融,上市公司,"绩效奖金,股票期权,年终分红,管理规范",12k-20k,3-5年,本科,上海
数据分析师,信用生活,50-150人,"移动互联网,金融",A轮,"年底双薪,股票期权,绩效奖金,带薪年假",20k-40k,3-5年,本科,上海
数据分析师,睿琪软件,150-500人,数据服务,不需要融资,"专业红娘牵线,节日礼物,技能培训,岗位晋升",10k-15k,1-3年,本科,杭州
数据分析师,汇合,2000人以上,"企业服务,金融",不需要融资,"绩效奖金,带薪年假,管理规范,五险一金",10k-14k,1-3年,本科,深圳
大数据开发工程师,AfterShip,50-150人,电商,不需要融资,"持续盈利,国际龙头企业,SaaS平台,极客氛围",25k-40k,5-10年,本科,深圳
数据分析师,云启星辰,15-50人,移动互联网,A轮,"五险一金,腾讯系,期权激励,开放式办公",15k-25k,3-5年,本科,深圳
数据分析师,易观,150-500人,"移动互联网,数据服务",B轮,"专项奖金,午餐补助,技能培训,扁平管理",20k-35k,3-5年,本科,北京
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",8k-12k,3-5年,本科,成都
资深数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-30k,3-5年,本科,北京
资深数据分析师,小鹅（小鹅通）,500-2000人,"移动互联网,社交",B轮,"扁平管理,领导nice,专项奖金,定期体检",20k-40k,3-5年,本科,深圳
大数据分析师（会员画像）,钱大妈,2000人以上,消费生活,D轮及以上,"绩效奖金,弹性工作,公司提供午餐,股票期权",18k-28k,5-10年,本科,广州
数据分析师,浦和数据,50-150人,数据服务,A轮,"五险一金,绩效奖金,带薪年假,法定节假",10k-20k,1-3年,本科,南京
大数据分析工程师(J11108),朗新科技,2000人以上,"移动互联网,企业服务",上市公司,"技能培训,年底双薪,带薪年假,岗位晋升",8k-13k,应届毕业生,本科,杭州
大数据分析工程师(J11108),朗新科技,2000人以上,"移动互联网,企业服务",上市公司,"技能培训,年底双薪,带薪年假,岗位晋升",8k-13k,应届毕业生,本科,北京
数据分析师,智品网络,50-150人,"移动互联网,电商",A轮,"五险一金,健身器材,扁平管理,产品为主",17k-27k,1-3年,本科,广州
数据分析师,新萌网络,150-500人,社交,不需要融资,"弹性工作,免费班车,年底双薪,带薪年假",10k-18k,1-3年,本科,上海
增长数据分析师,天眼查,150-500人,数据服务,不需要融资,"专项奖金,股票期权,带薪年假,定期体检",20k-30k,1-3年,本科,北京
数据分析师,恒大智慧科技有限公司,500-2000人,人工智能,不需要融资,,20k-40k,3-5年,本科,深圳
高级数据分析师,玄武科技,500-2000人,企业服务,上市公司,"绩效奖金,年底双薪,五险一金,带薪年假",15k-25k,5-10年,本科,广州
数据分析师,快看漫画,500-2000人,文娱丨内容,D轮及以上,"股票期权,年度体检,七险一金,带薪假期",20k-30k,3-5年,本科,北京
数据分析师,飞常准,500-2000人,移动互联网,不需要融资,"节日礼物,年度旅游,管理规范,五险一金",7k-14k,3-5年,本科,合肥
资深数据分析师,还呗-智能信贷领先者,500-2000人,金融,B轮,"股票期权,通讯津贴,交通补助,午餐补助",20k-40k,5-10年,本科,上海
健康科技中心--大数据分析师（算法）,泰康健投,2000人以上,"金融,医疗丨健康",不需要融资,"年底双薪,带薪年假,绩效奖金,年度旅游",20k-27k,5-10年,本科,北京
